,id,combined_features,popularity,vote_average,points,release_date
95,157336,interstellar saving the world artificial intelligence father son relationship single parent nasa matthew mcconaughey jessica chastain anne hathaway michael caine casey affleck adventure drama science fiction christopher nolan 2014 film films movies movie actor actress director,724.247784,8.1,63750245.4166968,2014-11-05
788,293660,deadpool anti hero mercenary marvel comic superhero based on comic book ryan reynolds morena baccarin ed skrein t.j. miller gina carano action adventure comedy tim miller 2016 film films movies movie actor actress director,514.5699559999998,7.4,41866955.33002799,2016-02-09
94,118340,guardians of the galaxy marvel comic spaceship space outer space orphan chris pratt zoe saldana dave bautista vin diesel bradley cooper action science fiction adventure james gunn 2014 film films movies movie actor actress director,481.098624,7.9,37026216.0805632,2014-07-30
127,76341,mad max: fury road future chase post-apocalyptic dystopia australia tom hardy charlize theron nicholas hoult hugh keays-byrne josh helman action adventure science fiction thriller george miller 2015 film films movies movie actor actress director,434.278564,7.2,29476396.9643616,2015-05-13
546,211672,minions assistant aftercreditsstinger duringcreditsstinger evil mastermind minions sandra bullock jon hamm michael keaton allison janney steve coogan family animation adventure comedy kyle balda 2015 film films movies movie actor actress director,875.581305,6.4,25614605.728992,2015-06-17
28,135397,jurassic world monster dna tyrannosaurus rex velociraptor island chris pratt bryce dallas howard irrfan khan vincent d'onofrio nick robinson action adventure science fiction thriller colin trevorrow 2015 film films movies movie actor actress director,418.708552,6.5,23574547.603256,2015-06-09
96,27205,inception loss of lover dream kidnapping sleep subconsciousness leonardo dicaprio joseph gordon-levitt ellen page tom hardy ken watanabe action thriller science fiction mystery adventure christopher nolan 2010 film films movies movie actor actress director,167.58371,8.1,18667350.557352,2010-07-14
65,155,the dark knight dc comics crime fighter secret identity scarecrow sadism christian bale heath ledger aaron eckhart michael caine maggie gyllenhaal drama action crime thriller christopher nolan 2008 film films movies movie actor actress director,187.322927,8.2,18435648.112802796,2008-07-16
199,22,pirates of the caribbean: the curse of the black pearl exotic island blacksmith east india trading company gold marriage proposal johnny depp geoffrey rush orlando bloom keira knightley jack davenport adventure fantasy action gore verbinski 2003 film films movies movie actor actress director,271.972889,7.5,14247979.7224875,2003-07-09
0,19995,avatar culture clash future space war space colony society sam worthington zoe saldana sigourney weaver stephen lang michelle rodriguez action adventure fantasy science fiction james cameron 2009 film films movies movie actor actress director,150.437577,7.2,12781176.541920003,2009-12-10
16,24428,the avengers new york shield marvel comic superhero based on comic book robert downey jr. chris evans mark ruffalo chris hemsworth scarlett johansson science fiction action adventure joss whedon 2012 film films movies movie actor actress director,144.448633,7.4,12587600.5563392,2012-04-25
662,550,fight club support group dual identity nihilism rage and hate insomnia edward norton brad pitt meat loaf jared leto helena bonham carter drama david fincher 1999 film films movies movie actor actress director,146.75739099999996,8.3,11465846.768308897,1999-10-15
26,271110,captain america: civil war civil war war marvel comic sequel superhero chris evans robert downey jr. scarlett johansson sebastian stan anthony mackie adventure action science fiction anthony russo 2016 film films movies movie actor actress director,198.372395,7.1,10198543.0365845,2016-04-27
88,177572,big hero 6 brother brother relationship hero talent revenge best friend scott adsit ryan potter daniel henney t.j. miller jamie chung adventure family animation action comedy chris williams 2014 film films movies movie actor actress director,203.73459,7.8,9749311.335269999,2014-10-24
262,120,the lord of the rings: the fellowship of the ring elves dwarves orcs middle-earth (tolkien) hobbit elijah wood ian mckellen cate blanchett orlando bloom sean bean adventure fantasy action peter jackson 2001 film films movies movie actor actress director,138.049577,8.0,9613772.54228,2001-12-18
1881,278,the shawshank redemption prison corruption police brutality prison cell delinquent tim robbins morgan freeman bob gunton clancy brown mark rolston drama crime frank darabont 1994 film films movies movie actor actress director,136.747729,8.5,9537128.489782501,1994-09-23
270,286217,the martian based on novel mars nasa isolation botanist matt damon jessica chastain kristen wiig jeff daniels michael pe\u00f1a drama adventure science fiction ridley scott 2015 film films movies movie actor actress director,167.93287,7.6,9276074.353616,2015-09-30
809,13,forrest gump vietnam veteran hippie mentally disabled running based on novel tom hanks robin wright gary sinise mykelti williamson sally field comedy drama romance robert zemeckis 1994 film films movies movie actor actress director,138.133331,8.2,8978859.901663398,1994-07-06
3232,680,pulp fiction transporter brothel drug dealer boxer massage john travolta samuel l. jackson uma thurman bruce willis ving rhames thriller crime quentin tarantino 1994 film films movies movie actor actress director,121.463076,8.3,8496633.677582402,1994-10-08
329,122,the lord of the rings: the return of the king elves orcs middle-earth (tolkien) based on novel suspicion elijah wood ian mckellen viggo mortensen liv tyler orlando bloom adventure fantasy action peter jackson 2003 film films movies movie actor actress director,123.630332,8.1,8075335.477708799,2003-12-01
82,119450,dawn of the planet of the apes leader colony post-apocalyptic dystopia forest andy serkis jason clarke gary oldman keri russell toby kebbell science fiction action drama thriller matt reeves 2014 film films movies movie actor actress director,243.79174300000005,7.3,7848387.582399002,2014-06-26
68,1726,iron man middle east arms dealer malibu marvel comic superhero robert downey jr. terrence howard jeff bridges shaun toub gwyneth paltrow action science fiction adventure jon favreau 2008 film films movies movie actor actress director,120.725053,7.4,7840174.681947201,2008-04-30
3,49026,the dark knight rises dc comics crime fighter terrorist secret identity burglar christian bale michael caine gary oldman anne hathaway tom hardy action crime drama thriller christopher nolan 2012 film films movies movie actor actress director,112.31295,7.6,7772685.0925199995,2012-07-16
200,131631,the hunger games: mockingjay - part 1 resistance post-apocalyptic dystopia war sequel jennifer lawrence josh hutcherson liam hemsworth woody harrelson donald sutherland science fiction adventure thriller francis lawrence 2014 film films movies movie actor actress director,206.227151,6.6,7600377.913814399,2014-11-18
634,603,the matrix saving the world artificial intelligence man vs machine philosophy prophecy keanu reeves laurence fishburne carrie-anne moss hugo weaving gloria foster action science fiction lilly wachowski 1999 film films movies movie actor actress director,104.309993,7.9,7339803.950442901,1999-03-30
3337,238,the godfather italy love at first sight loss of father patriarch organized crime marlon brando al pacino james caan richard s. castellano robert duvall drama crime francis ford coppola 1972 film films movies movie actor actress director,143.659698,8.4,7111327.4426376,1972-03-14
3865,244786,whiplash jazz obsession conservatory music teacher new york city miles teller j.k. simmons melissa benoist austin stowell jayson blair drama damien chazelle 2014 film films movies movie actor actress director,192.528841,8.3,6797846.823796201,2014-10-10
2912,11,star wars android galaxy hermit death star lightsaber mark hamill harrison ford carrie fisher peter cushing alec guinness adventure action science fiction george lucas 1977 film films movies movie actor actress director,126.393695,8.1,6781577.869007999,1977-05-25
